,filename,label
1925,n09398076_15747.JPEG,1
4923,+811140.jpg,4
843,n09398076_2950.JPEG,1
2142,_826331.jpeg,3
2516,_233251.jpeg,3
1763,n02958343_49336.JPEG,0
1369,871.jpeg,2
3077,_119366.jpg,3
4735,n09398076_19323.JPEG,1
5435,+824169.jpg,4
4136,n02958343_81158.JPEG,0
1962,_117352.jpeg,3
5227,+623149.jpg,4
1374,n02958343_38657.JPEG,0
3260,n09398076_1502.JPEG,1
3183,n09398076_1928.JPEG,1
1892,1053.jpeg,2
2822,n09398076_577.JPEG,1
402,_40734.jpeg,3
3819,534.jpeg,2
2126,135.jpeg,2
4159,n02958343_9774.JPEG,0
85,n02958343_73858.JPEG,0
3506,n09398076_10340.JPEG,1
4521,_543721.jpg,3
2656,n09398076_1433.JPEG,1
3927,n09398076_20089.JPEG,1
3241,_390.jpeg,3
2978,n09398076_11941.JPEG,1
4415,416.jpeg,2
2901,n02958343_4308.JPEG,0
5354,+847393.jpg,4
2578,1041.jpeg,2
3096,_918261.jpg,3
90,n09398076_7304.JPEG,1
3377,343.jpeg,2
263,n09398076_10225.JPEG,1
1540,n09398076_345.JPEG,1
4552,n02958343_4210.JPEG,0
5505,+252273.jpg,4
3427,374.jpeg,2
4952,+366293.jpg,4
4638,_531337.jpeg,3
1363,n09398076_15697.JPEG,1
473,n09398076_17640.JPEG,1
2644,n09398076_5910.JPEG,1
1527,n02958343_11497.JPEG,0
1643,155.jpeg,2
1728,n09398076_13077.JPEG,1
4981,+442751.jpg,4
3274,n09398076_446.JPEG,1
3043,763.jpeg,2
2940,n02958343_10405.JPEG,0
2043,n02958343_8395.JPEG,0
1515,n02958343_65282.JPEG,0
5080,+46157.jpg,4
5403,+82654.jpg,4
5479,+569344.jpg,4
306,641.jpeg,2
3695,_370272.jpg,3
571,n02958343_25185.JPEG,0
3421,_424242.jpg,3
2076,n09398076_5680.JPEG,1
2763,_172431.jpeg,3
2882,_972418.jpg,3
5353,+543385.jpg,4
1999,n09398076_19077.JPEG,1
3981,n02958343_81808.JPEG,0
2821,472.jpeg,2
5183,+251267.jpg,4
4241,n02958343_5358.JPEG,0
36,n09398076_8095.JPEG,1
3737,1076.jpeg,2
2128,_861167.jpeg,3
2751,n09398076_15950.JPEG,1
3957,n09398076_15817.JPEG,1
769,n09398076_207.JPEG,1
5120,+168466.jpg,4
2096,_512377.jpeg,3
4766,n02958343_69809.JPEG,0
3039,537.jpeg,2
3061,n09398076_6337.JPEG,1
4191,_985385.jpg,3
5258,+642400.jpg,4
4420,626.jpeg,2
5387,+173738.jpg,4
4631,262.jpeg,2
119,n02958343_5319.JPEG,0
1205,_421295.jpg,3
1947,_21200.jpg,3
1885,_352374.jpeg,3
2283,216.jpeg,2
4624,_892415.jpg,3
508,_4289.jpg,3
5638,+217462.jpg,4
1172,n02958343_85829.JPEG,0
832,890.jpeg,2
2713,n02958343_6011.JPEG,0
5641,+196885.jpg,4
5614,+731294.jpg,4
3788,_429228.jpeg,3
4571,_106154.jpg,3
3159,n09398076_18861.JPEG,1
5478,+704104.jpg,4
3277,1032.jpeg,2
1489,n09398076_6032.JPEG,1
607,n09398076_13800.JPEG,1
3407,_15374.jpg,3
2130,820.jpeg,2
5275,+488784.jpg,4
5132,+701489.jpg,4
3935,_708255.jpeg,3
3711,_527318.jpg,3
2753,841.png,2
5612,+445750.jpg,4
525,n02958343_13814.JPEG,0
4022,409.png,2
1954,295.jpeg,2
1955,_10180.jpg,3
2228,566.jpeg,2
1725,n02958343_10531.JPEG,0
474,_145153.jpeg,3
4792,968.jpeg,2
3398,_2371.jpg,3
250,n09398076_9469.JPEG,1
4164,_88775.jpg,3
2863,389.jpeg,2
2854,n09398076_9151.JPEG,1
3326,n09398076_5754.JPEG,1
1291,n09398076_591.JPEG,1
2752,n09398076_13292.JPEG,1
2755,_89572.jpg,3
2424,n09398076_3778.JPEG,1
3995,_78564.jpeg,3
2192,n09398076_6937.JPEG,1
3157,n09398076_20225.JPEG,1
2301,_200172.jpg,3
2779,n02958343_13011.JPEG,0
2479,n02958343_494.JPEG,0
65,n09398076_11642.JPEG,1
854,n09398076_7448.JPEG,1
2217,1056.jpeg,2
5487,+126827.jpg,4
1591,n09398076_5730.JPEG,1
3197,n02958343_4414.JPEG,0
4696,_234314.jpeg,3
1957,541.png,2
3296,991.jpeg,2
5667,+233110.jpg,4
2662,n02958343_14448.JPEG,0
4632,n02958343_13784.JPEG,0
3781,384.jpeg,2
4438,_43317.jpg,3
4252,n02958343_856.JPEG,0
969,n09398076_9051.JPEG,1
1180,331.jpeg,2
5121,+98167.jpg,4
4299,_24861.jpeg,3
3247,n09398076_3082.JPEG,1
1197,267.jpeg,2
5595,+80343.jpg,4
1268,n02958343_52230.JPEG,0
4738,n09398076_11823.JPEG,1
1324,n09398076_953.JPEG,1
5679,+167328.jpg,4
615,n09398076_534.JPEG,1
5305,+770125.jpg,4
1508,_865188.jpeg,3
1858,n02958343_4533.JPEG,0
4870,+263105.jpg,4
56,n09398076_3704.JPEG,1
4548,n09398076_2498.JPEG,1
1437,956.jpeg,2
4573,757.jpeg,2
1807,806.jpeg,2
4705,_47164.jpeg,3
3673,704.png,2
4554,_984347.jpg,3
5174,+174704.jpg,4
5510,+62276.jpg,4
4698,n02958343_257.JPEG,0
1719,227.jpeg,2
2074,n02958343_5521.JPEG,0
1112,n09398076_4127.JPEG,1
165,n02958343_2903.JPEG,0
3199,n09398076_11267.JPEG,1
5394,+161894.jpg,4
3676,n09398076_11318.JPEG,1
2310,_81122.jpg,3
2902,n09398076_17213.JPEG,1
4568,n02958343_13515.JPEG,0
7,n09398076_6518.JPEG,1
4673,n09398076_4404.JPEG,1
5451,+838144.jpg,4
2891,_8571.jpeg,3
5351,+275487.jpg,4
2297,n09398076_17781.JPEG,1
2407,913.jpeg,2
2979,n02958343_12639.JPEG,0
2743,891.jpeg,2
4279,n09398076_277.JPEG,1
1260,n09398076_2293.JPEG,1
4075,n02958343_11520.JPEG,0
4382,n02958343_2377.JPEG,0
711,255.jpeg,2
2348,_465422.jpeg,3
1501,n02958343_9034.JPEG,0
2303,n02958343_18813.JPEG,0
1904,_34940.jpeg,3
3818,_245464.jpg,3
2840,n09398076_14068.JPEG,1
1253,n09398076_9174.JPEG,1
746,386.jpeg,2
2173,1091.jpeg,2
1498,_168309.jpeg,3
4037,_16266.jpg,3
1346,n02958343_9858.JPEG,0
4953,+736653.jpg,4
2390,n09398076_16161.JPEG,1
3615,n09398076_1285.JPEG,1
793,n09398076_12831.JPEG,1
4970,+433396.jpg,4
585,n09398076_12509.JPEG,1
