,filename,label
1184,n09398076_7229.JPEG,1
983,n09398076_10286.JPEG,1
265,n09398076_1275.JPEG,1
2275,n02958343_2919.JPEG,0
1462,n02958343_11586.JPEG,0
1932,n02958343_14280.JPEG,0
1150,n09398076_6091.JPEG,1
390,n09398076_7353.JPEG,1
1899,n02958343_77184.JPEG,0
2569,n02958343_5346.JPEG,0
2467,n02958343_21666.JPEG,0
436,n09398076_19867.JPEG,1
268,n09398076_18861.JPEG,1
864,n09398076_3562.JPEG,1
1696,n02958343_4175.JPEG,0
974,n09398076_1050.JPEG,1
2294,n02958343_8051.JPEG,0
2075,n02958343_9533.JPEG,0
1796,n02958343_2392.JPEG,0
2606,n02958343_67134.JPEG,0
1426,n02958343_66878.JPEG,0
1679,n02958343_5820.JPEG,0
2181,n02958343_56340.JPEG,0
2397,n02958343_79432.JPEG,0
56,n09398076_13555.JPEG,1
2273,n02958343_9154.JPEG,0
535,n09398076_15428.JPEG,1
2193,n02958343_12566.JPEG,0
2303,n02958343_3867.JPEG,0
68,n09398076_983.JPEG,1
1789,n02958343_66370.JPEG,0
2447,n02958343_64806.JPEG,0
702,n09398076_15667.JPEG,1
910,n09398076_1928.JPEG,1
1645,n02958343_12919.JPEG,0
1544,n02958343_29891.JPEG,0
561,n09398076_4509.JPEG,1
1030,n09398076_3725.JPEG,1
570,n09398076_10581.JPEG,1
2522,n02958343_10843.JPEG,0
125,n09398076_19841.JPEG,1
2377,n02958343_4281.JPEG,0
1048,n09398076_1309.JPEG,1
1110,n09398076_10988.JPEG,1
642,n09398076_14608.JPEG,1
2429,n02958343_3677.JPEG,0
600,n09398076_7344.JPEG,1
158,n09398076_3439.JPEG,1
1158,n09398076_735.JPEG,1
143,n09398076_1239.JPEG,1
289,n09398076_6334.JPEG,1
1672,n02958343_1926.JPEG,0
2446,n02958343_4632.JPEG,0
1646,n02958343_25739.JPEG,0
1997,n02958343_3098.JPEG,0
966,n09398076_12033.JPEG,1
1884,n02958343_21005.JPEG,0
182,n09398076_4997.JPEG,1
1900,n02958343_10810.JPEG,0
1869,n02958343_7056.JPEG,0
986,n09398076_4127.JPEG,1
488,n09398076_9195.JPEG,1
823,n09398076_13897.JPEG,1
2598,n02958343_82924.JPEG,0
1850,n02958343_11718.JPEG,0
1879,n02958343_10426.JPEG,0
1329,n02958343_72525.JPEG,0
2076,n02958343_11520.JPEG,0
2533,n02958343_7064.JPEG,0
