,filename,label
3803,_782346.jpeg,3
4519,_863190.jpg,3
2844,n09398076_13736.JPEG,1
1517,605.jpeg,2
1455,1005.jpeg,2
1140,133.jpeg,2
3791,_68069.jpg,3
558,n09398076_6518.JPEG,1
1512,n02958343_2973.JPEG,0
4121,_472434.jpeg,3
1120,831.jpeg,2
1856,n02958343_4363.JPEG,0
1993,338.jpeg,2
3237,n09398076_9633.JPEG,1
4166,_533522.jpg,3
4052,_90410.jpg,3
4465,_58265.jpg,3
603,35.jpeg,2
3207,1040.jpeg,2
1541,937.jpeg,2
2886,708.jpeg,2
117,n02958343_7906.JPEG,0
922,63.jpeg,2
2503,n02958343_26530.JPEG,0
1462,n02958343_3370.JPEG,0
1559,n02958343_51833.JPEG,0
1821,n09398076_343.JPEG,1
364,n02958343_33319.JPEG,0
2159,180.jpeg,2
778,n02958343_49145.JPEG,0
1571,n02958343_44862.JPEG,0
2376,n02958343_14098.JPEG,0
2892,n09398076_15232.JPEG,1
3446,1044.jpeg,2
3442,n09398076_13300.JPEG,1
739,n02958343_4724.JPEG,0
960,n09398076_8095.JPEG,1
1502,n02958343_9478.JPEG,0
3108,208.jpeg,2
449,n02958343_3024.JPEG,0
3943,_587291.jpeg,3
4454,_552120.jpeg,3
493,n09398076_13379.JPEG,1
765,n02958343_5162.JPEG,0
4630,_903172.jpg,3
4358,_381717.jpg,3
2194,n09398076_4823.JPEG,1
2530,n09398076_671.JPEG,1
3020,753.jpeg,2
2736,1086.jpeg,2
384,n09398076_4997.JPEG,1
1925,372.jpeg,2
2577,n09398076_24.JPEG,1
3197,n02958343_32639.JPEG,0
2918,n02958343_4882.JPEG,0
3380,n02958343_62636.JPEG,0
2068,n09398076_3704.JPEG,1
22,n09398076_4284.JPEG,1
2821,n09398076_716.JPEG,1
4229,_560136.jpeg,3
1641,71.jpeg,2
3580,n09398076_2380.JPEG,1
3293,n09398076_2394.JPEG,1
1441,n02958343_3098.JPEG,0
1553,521.jpeg,2
3199,n09398076_11642.JPEG,1
959,188.jpeg,2
2397,364.jpeg,2
3817,_839225.jpg,3
2749,674.jpeg,2
3029,896.jpeg,2
2204,684.jpeg,2
2998,813.jpeg,2
1171,n02958343_80445.JPEG,0
4463,_62106.jpg,3
3872,_928112.jpg,3
1355,n02958343_48331.JPEG,0
4481,_866189.jpg,3
1572,n09398076_19723.JPEG,1
4345,_778254.jpeg,3
3424,n09398076_8912.JPEG,1
313,8.jpeg,2
3716,_30215.jpg,3
3955,_59258.jpg,3
4145,_38349.jpg,3
7,n02958343_73858.JPEG,0
4026,_241538.jpg,3
3292,n02958343_13319.JPEG,0
3227,522.jpeg,2
2515,n02958343_1065.JPEG,0
1488,n09398076_7304.JPEG,1
2003,803.jpeg,2
2511,497.jpeg,2
4760,_515233.jpeg,3
4126,_486418.jpeg,3
3267,n09398076_11753.JPEG,1
3566,n09398076_1192.JPEG,1
2119,n02958343_8665.JPEG,0
34,n09398076_6649.JPEG,1
4200,_88649.jpg,3
4545,_17203.jpg,3
3223,n02958343_14760.JPEG,0
4824,_323701.jpg,3
2137,770.jpeg,2
1588,n02958343_37775.JPEG,0
4221,_251181.jpeg,3
3865,_675195.jpg,3
3111,786.jpeg,2
2675,n09398076_9331.JPEG,1
4009,_706310.jpeg,3
2335,n09398076_20577.JPEG,1
3785,_99047.jpg,3
1133,n02958343_7592.JPEG,0
4719,_453690.jpg,3
3438,n02958343_7786.JPEG,0
4179,_220539.jpg,3
2104,n09398076_7248.JPEG,1
2872,n09398076_18791.JPEG,1
3162,n02958343_7778.JPEG,0
2146,n02958343_5319.JPEG,0
2180,n09398076_20727.JPEG,1
1543,n09398076_317.JPEG,1
4186,_65110.jpg,3
1356,n02958343_23162.JPEG,0
4247,_864184.jpg,3
316,n02958343_14496.JPEG,0
4199,_452109.jpg,3
2221,1052.jpeg,2
3506,41.jpeg,2
110,n09398076_6088.JPEG,1
3341,n02958343_14120.JPEG,0
3721,_32656.jpeg,3
4386,_339338.jpg,3
890,356.jpeg,2
417,n09398076_2903.JPEG,1
93,n09398076_1953.JPEG,1
176,n09398076_1864.JPEG,1
3638,n09398076_6010.JPEG,1
2914,n09398076_7467.JPEG,1
2588,n09398076_1215.JPEG,1
4426,_79692.jpg,3
1533,n09398076_3772.JPEG,1
1874,221.jpeg,2
312,n02958343_75777.JPEG,0
1927,n09398076_1474.JPEG,1
1698,n02958343_2268.JPEG,0
4119,_930110.jpg,3
4233,_216465.jpg,3
450,n09398076_12094.JPEG,1
1867,n02958343_10040.JPEG,0
